date,day,hours,odds_a,odds_b,odds_draw,score_a,score_b,season,team_a,team_b
2019-09-25 18:00:00,Wednesday,18:00,4.51,1.76,3.90,2,2,2019/2020,Brest,Lyon
2019-09-25 18:00:00,Wednesday,18:00,1.78,5.09,3.48,2,0,2019/2020,Lille,Strasbourg
2019-09-25 18:00:00,Wednesday,18:00,2.04,3.94,3.33,1,0,2019/2020,Montpellier,Nimes
2019-09-25 18:00:00,Wednesday,18:00,2.51,3.22,2.99,1,0,2019/2020,Nantes,Rennes
2019-09-25 18:00:00,Wednesday,18:00,1.97,4.18,3.37,0,1,2019/2020,St Etienne,Metz
2019-09-25 18:00:00,Wednesday,18:00,2.70,2.79,3.18,0,2,2019/2020,Toulouse,Angers
2019-09-24 20:00:00,Tuesday,20:00,1.84,4.36,3.70,3,1,2019/2020,Monaco,Nice
2019-09-24 18:00:00,Tuesday,18:00,3.48,2.16,3.38,0,0,2019/2020,Dijon,Marseille
2019-09-22 20:00:00,Sunday,20:00,3.74,1.89,4.02,0,1,2019/2020,Lyon,Paris SG
2019-09-22 16:00:00,Sunday,16:00,2.09,3.81,3.29,4,1,2019/2020,Angers,St Etienne
2019-09-22 14:00:00,Sunday,14:00,2.92,2.64,3.07,1,1,2019/2020,Rennes,Lille
2019-09-21 19:00:00,Saturday,19:00,1.78,5.17,3.44,2,2,2019/2020,Bordeaux,Brest
2019-09-21 19:00:00,Saturday,19:00,2.25,3.75,3.01,1,2,2019/2020,Metz,Amiens
2019-09-21 19:00:00,Saturday,19:00,1.76,5.23,3.51,2,1,2019/2020,Nice,Dijon
2019-09-21 19:00:00,Saturday,19:00,2.07,3.61,3.49,1,0,2019/2020,Nimes,Toulouse
2019-09-21 19:00:00,Saturday,19:00,2.53,2.90,3.27,0,0,2019/2020,Reims,Monaco
2019-09-21 16:30:00,Saturday,16:30,2.03,4.09,3.24,1,1,2019/2020,Marseille,Montpellier
2019-09-20 19:45:00,Friday,19:45,2.32,3.52,3.03,2,1,2019/2020,Strasbourg,Nantes
2019-09-15 20:00:00,Sunday,20:00,2.05,3.57,3.65,3,4,2019/2020,Monaco,Marseille
2019-09-15 16:00:00,Sunday,16:00,1.61,5.49,4.12,2,2,2019/2020,St Etienne,Toulouse
2019-09-15 14:00:00,Sunday,14:00,2.22,3.74,3.05,1,0,2019/2020,Nantes,Reims
2019-09-14 19:00:00,Saturday,19:00,1.99,4.43,3.19,2,0,2019/2020,Bordeaux,Metz
2019-09-14 19:00:00,Saturday,19:00,3.21,2.40,3.16,0,0,2019/2020,Brest,Rennes
2019-09-14 19:00:00,Saturday,19:00,2.82,2.56,3.34,0,0,2019/2020,Dijon,Nimes
2019-09-14 19:00:00,Saturday,19:00,1.95,4.24,3.38,2,1,2019/2020,Montpellier,Nice
2019-09-14 16:30:00,Saturday,16:30,1.18,14.63,7.76,1,0,2019/2020,Paris SG,Strasbourg
2019-09-13 19:45:00,Friday,19:45,4.14,1.94,3.50,2,2,2019/2020,Amiens,Lyon
2019-09-13 18:00:00,Friday,18:00,1.92,4.40,3.38,2,1,2019/2020,Lille,Angers
2019-09-01 20:00:00,Sunday,20:00,1.82,4.67,3.57,1,0,2019/2020,Marseille,St Etienne
2019-09-01 16:00:00,Sunday,16:00,2.51,2.98,3.23,2,2,2019/2020,Strasbourg,Monaco
2019-09-01 14:00:00,Sunday,14:00,2.98,2.70,2.94,2,0,2019/2020,Reims,Lille
2019-09-01 14:00:00,Sunday,14:00,1.76,5.23,3.51,1,2,2019/2020,Rennes,Nice
2019-08-31 19:00:00,Saturday,19:00,1.67,5.48,3.79,2,0,2019/2020,Angers,Dijon
2019-08-31 19:00:00,Saturday,19:00,2.53,3.11,3.06,1,0,2019/2020,Nantes,Montpellier
2019-08-31 19:00:00,Saturday,19:00,2.01,4.03,3.34,3,0,2019/2020,Nimes,Brest
2019-08-31 19:00:00,Saturday,19:00,2.31,3.46,3.13,2,0,2019/2020,Toulouse,Amiens
2019-08-31 16:30:00,Saturday,16:30,1.54,6.62,4.04,1,1,2019/2020,Lyon,Bordeaux
2019-08-30 19:45:00,Friday,19:45,6.59,1.50,4.43,0,2,2019/2020,Metz,Paris SG
2019-08-28 20:00:00,Wednesday,20:00,3.47,2.25,3.20,1,2,2019/2020,Nice,Marseille
2019-08-28 18:00:00,Wednesday,18:00,2.12,3.58,3.38,3,0,2019/2020,Lille,St Etienne
2019-08-27 18:00:00,Tuesday,18:00,4.02,1.92,3.61,1,0,2019/2020,Montpellier,Lyon
2019-08-25 20:00:00,Sunday,20:00,1.10,24.30,10.82,4,0,2019/2020,Paris SG,Toulouse
2019-08-25 16:00:00,Sunday,16:00,2.84,2.74,3.06,0,2,2019/2020,Strasbourg,Rennes
2019-08-25 14:00:00,Sunday,14:00,1.64,5.64,3.89,2,2,2019/2020,Monaco,Nimes
2019-08-24 19:00:00,Saturday,19:00,2.80,2.82,3.03,1,2,2019/2020,Amiens,Nantes
2019-08-24 19:00:00,Saturday,19:00,2.14,3.84,3.16,3,0,2019/2020,Angers,Metz
2019-08-24 19:00:00,Saturday,19:00,2.67,2.92,3.06,1,0,2019/2020,Brest,Reims
2019-08-24 19:00:00,Saturday,19:00,2.94,2.64,3.09,0,2,2019/2020,Dijon,Bordeaux
2019-08-18 20:00:00,Sunday,20:00,8.08,1.37,5.25,2,1,2019/2020,Rennes,Paris SG
2019-08-18 16:00:00,Sunday,16:00,2.09,4.07,3.15,0,0,2019/2020,Reims,Strasbourg
2019-08-18 14:00:00,Sunday,14:00,1.62,5.99,3.89,1,1,2019/2020,St Etienne,Brest
2019-08-17 19:00:00,Saturday,19:00,3.32,2.37,3.13,1,0,2019/2020,Amiens,Lille
2019-08-17 19:00:00,Saturday,19:00,2.63,3.08,2.97,1,1,2019/2020,Bordeaux,Montpellier
2019-08-17 19:00:00,Saturday,19:00,3.09,2.48,3.18,3,0,2019/2020,Metz,Monaco
2019-08-17 19:00:00,Saturday,19:00,2.09,3.73,3.39,1,2,2019/2020,Nimes,Nice
2019-08-17 19:00:00,Saturday,19:00,1.99,3.99,3.45,1,0,2019/2020,Toulouse,Dijon
2019-08-17 16:30:00,Saturday,16:30,2.49,3.07,3.17,0,0,2019/2020,Nantes,Marseille
2019-08-16 19:45:00,Friday,19:45,1.49,6.78,4.49,6,0,2019/2020,Lyon,Angers
2019-08-11 20:00:00,Sunday,20:00,1.08,28.95,11.90,3,0,2019/2020,Paris SG,Nimes
2019-08-11 16:00:00,Sunday,16:00,2.24,3.74,3.03,1,1,2019/2020,Strasbourg,Metz
2019-08-11 14:00:00,Sunday,14:00,2.34,3.47,3.04,2,1,2019/2020,Lille,Nantes
2019-08-10 19:00:00,Saturday,19:00,2.08,3.98,3.20,3,1,2019/2020,Angers,Bordeaux
2019-08-10 19:00:00,Saturday,19:00,2.08,3.76,3.36,1,1,2019/2020,Brest,Toulouse
2019-08-10 19:00:00,Saturday,19:00,3.78,2.06,3.39,1,2,2019/2020,Dijon,St Etienne
2019-08-10 19:00:00,Saturday,19:00,2.24,3.50,3.24,0,1,2019/2020,Montpellier,Rennes
2019-08-10 19:00:00,Saturday,19:00,2.31,3.65,2.98,2,1,2019/2020,Nice,Amiens
2019-08-10 16:30:00,Saturday,16:30,1.73,5.63,3.49,0,2,2019/2020,Marseille,Reims
2019-08-09 19:45:00,Friday,19:45,3.37,2.17,3.53,0,3,2019/2020,Monaco,Lyon
2019-06-02 20:00:00,Sunday,20:00,2.56,3.03,3.03,3,1,2018/2019,Dijon,Lens 
2019-05-30 19:45:00,Thursday,19:45,2.14,3.88,3.07,1,1,2018/2019,Lens,Dijon 
2019-05-24 20:05:00,Friday,20:05,1.55,6.42,4.03,2,1,2018/2019,Amiens,Guingamp
2019-05-24 20:05:00,Friday,20:05,2.15,3.20,3.78,1,1,2018/2019,Angers,St Etienne
2019-05-24 20:05:00,Friday,20:05,2.04,4.04,3.25,0,1,2018/2019,Caen,Bordeaux
2019-05-24 20:05:00,Friday,20:05,1.45,6.36,5.02,2,1,2018/2019,Dijon,Toulouse
2019-05-24 20:05:00,Friday,20:05,1.86,4.00,3.91,1,0,2018/2019,Marseille,Montpellier
2019-05-24 20:05:00,Friday,20:05,1.95,3.82,3.71,0,1,2018/2019,Nantes,Strasbourg
2019-05-24 20:05:00,Friday,20:05,3.41,2.20,3.38,2,0,2018/2019,Nice,Monaco
2019-05-24 20:05:00,Friday,20:05,3.80,1.83,4.27,2,3,2018/2019,Nimes,Lyon
2019-05-24 20:05:00,Friday,20:05,6.71,1.40,5.45,3,1,2018/2019,Reims,Paris SG
2019-05-24 20:05:00,Friday,20:05,2.37,2.85,3.72,3,1,2018/2019,Rennes,Lille
2019-05-24 17:00:00,Friday,17:00,2.87,2.71,2.92,1,2,2018/2019,Troyes,Lens
2019-05-21 19:45:00,Tuesday,19:45,2.98,2.74,2.75,1,2,2018/2019,Paris FC,Lens
2019-05-18 20:00:00,Saturday,20:00,2.18,3.59,3.27,0,1,2018/2019,Bordeaux,Reims
2019-05-18 20:00:00,Saturday,20:00,2.30,3.09,3.49,2,2,2018/2019,Guingamp,Nimes
2019-05-18 20:00:00,Saturday,20:00,1.62,5.54,4.00,5,0,2018/2019,Lille,Angers
2019-05-18 20:00:00,Saturday,20:00,1.23,11.71,6.70,4,0,2018/2019,Lyon,Caen
2019-05-18 20:00:00,Saturday,20:00,1.58,6.24,3.95,2,0,2018/2019,Monaco,Amiens
2019-05-18 20:00:00,Saturday,20:00,1.87,4.24,3.68,1,1,2018/2019,Montpellier,Nantes
2019-05-18 20:00:00,Saturday,20:00,1.19,12.47,7.83,4,0,2018/2019,Paris SG,Dijon
2019-05-18 20:00:00,Saturday,20:00,1.62,5.45,4.08,3,0,2018/2019,St Etienne,Nice
2019-05-18 20:00:00,Saturday,20:00,2.19,3.26,3.60,0,2,2018/2019,Strasbourg,Rennes
2019-05-18 20:00:00,Saturday,20:00,3.19,2.30,3.38,2,5,2018/2019,Toulouse,Marseille
2019-05-12 20:00:00,Sunday,20:00,2.94,2.29,3.77,0,3,2018/2019,Marseille,Lyon
2019-05-12 16:00:00,Sunday,16:00,1.53,6.90,4.08,1,0,2018/2019,Lille,Bordeaux
2019-05-12 14:00:00,Sunday,14:00,1.80,4.38,3.87,1,1,2018/2019,Rennes,Guingamp
2019-05-11 19:00:00,Saturday,19:00,2.19,3.75,3.13,0,0,2018/2019,Amiens,Toulouse
2019-05-11 19:00:00,Saturday,19:00,2.83,2.83,2.98,3,2,2018/2019,Caen,Reims
2019-05-11 19:00:00,Saturday,19:00,2.02,3.75,3.54,2,1,2018/2019,Dijon,Strasbourg
2019-05-11 19:00:00,Saturday,19:00,2.57,2.97,3.15,1,1,2018/2019,Nice,Nantes
2019-05-11 19:00:00,Saturday,19:00,3.73,1.93,3.83,1,0,2018/2019,Nimes,Monaco
2019-05-11 16:00:00,Saturday,16:00,5.76,1.54,4.48,1,2,2018/2019,Angers,Paris SG
2019-05-10 19:45:00,Friday,19:45,1.77,4.65,3.80,0,1,2018/2019,St Etienne,Montpellier
2019-05-05 20:00:00,Sunday,20:00,1.56,5.57,4.44,2,2,2018/2019,Lyon,Lille
2019-05-05 16:00:00,Sunday,16:00,2.14,3.30,3.64,2,3,2018/2019,Monaco,St Etienne
2019-05-05 14:00:00,Sunday,14:00,1.76,5.10,3.57,1,1,2018/2019,Montpellier,Amiens
2019-05-05 14:00:00,Sunday,14:00,1.99,3.94,3.45,3,0,2018/2019,Nantes,Dijon
2019-05-05 14:00:00,Sunday,14:00,2.31,3.18,3.36,2,2,2018/2019,Toulouse,Rennes
2019-05-04 19:00:00,Saturday,19:00,2.52,3.04,3.14,0,1,2018/2019,Bordeaux,Angers
2019-05-04 19:00:00,Saturday,19:00,1.90,4.61,3.31,0,0,2018/2019,Guingamp,Caen
2019-05-04 19:00:00,Saturday,19:00,1.97,4.09,3.43,0,3,2018/2019,Reims,Nimes
2019-05-04 16:00:00,Saturday,16:00,1.18,12.71,8.12,1,1,2018/2019,Paris SG,Nice
2019-05-03 19:45:00,Friday,19:45,3.66,2.12,3.40,1,1,2018/2019,Strasbourg,Marseille
2019-05-01 18:00:00,Wednesday,18:00,3.47,2.13,3.50,2,2,2018/2019,Rennes,Monaco
2019-04-30 18:00:00,Tuesday,18:00,4.74,1.72,3.93,3,2,2018/2019,Montpellier,Paris SG
2019-04-28 20:00:00,Sunday,20:00,1.51,6.91,4.27,1,2,2018/2019,Marseille,Nantes
2019-04-28 16:00:00,Sunday,16:00,1.49,6.83,4.39,2,0,2018/2019,St Etienne,Toulouse
2019-04-28 14:00:00,Sunday,14:00,2.32,3.35,3.17,1,1,2018/2019,Angers,Reims
2019-04-28 14:00:00,Sunday,14:00,3.10,2.50,3.09,1,0,2018/2019,Caen,Dijon
2019-04-28 14:00:00,Sunday,14:00,2.36,3.32,3.15,0,0,2018/2019,Amiens,Strasbourg
2019-04-28 14:00:00,Sunday,14:00,1.43,8.01,4.55,5,0,2018/2019,Lille,Nimes
2019-04-28 14:00:00,Sunday,14:00,2.25,3.66,3.07,3,0,2018/2019,Nice,Guingamp
2019-04-26 19:45:00,Friday,19:45,5.07,1.65,4.08,2,3,2018/2019,Bordeaux,Lyon
2019-04-21 20:00:00,Sunday,20:00,1.28,9.39,6.23,3,1,2018/2019,Paris SG,Monaco
2019-04-21 16:00:00,Sunday,16:00,2.69,2.79,3.19,0,2,2018/2019,Reims,St Etienne
2019-04-21 14:00:00,Sunday,14:00,2.03,4.32,3.10,3,2,2018/2019,Nantes,Amiens
2019-04-21 14:00:00,Sunday,14:00,3.68,2.14,3.28,0,0,2018/2019,Toulouse,Lille
2019-04-20 19:00:00,Saturday,19:00,1.61,6.72,3.61,0,1,2018/2019,Nice,Caen
2019-04-20 19:00:00,Saturday,19:00,2.06,3.67,3.50,2,1,2018/2019,Nimes,Bordeaux
2019-04-20 19:00:00,Saturday,19:00,2.88,2.67,3.10,1,3,2018/2019,Strasbourg,Montpellier
2019-04-20 16:00:00,Saturday,16:00,4.05,1.98,3.40,1,3,2018/2019,Guingamp,Marseille
2019-04-19 19:45:00,Friday,19:45,1.33,9.01,5.42,2,1,2018/2019,Lyon,Angers
2019-04-19 18:00:00,Friday,18:00,2.87,2.54,3.30,3,2,2018/2019,Dijon,Rennes
2019-04-17 18:00:00,Wednesday,18:00,3.84,1.99,3.55,3,2,2018/2019,Nantes,Paris SG
2019-04-14 20:00:00,Sunday,20:00,5.07,1.69,3.88,5,1,2018/2019,Lille,Paris SG
2019-04-14 16:00:00,Sunday,16:00,1.57,6.34,4.04,3,0,2018/2019,St Etienne,Bordeaux
2019-04-14 14:00:00,Sunday,14:00,1.92,4.45,3.38,2,1,2018/2019,Montpellier,Toulouse
2019-04-14 14:00:00,Sunday,14:00,1.92,4.46,3.35,0,0,2018/2019,Rennes,Nice
2019-04-13 19:00:00,Saturday,19:00,3.42,2.37,3.02,0,1,2018/2019,Caen,Angers
2019-04-13 19:00:00,Saturday,19:00,1.82,4.74,3.50,0,0,2018/2019,Monaco,Reims
2019-04-13 19:00:00,Saturday,19:00,1.94,4.33,3.35,3,3,2018/2019,Strasbourg,Guingamp
2019-04-13 16:00:00,Saturday,16:00,1.39,8.22,4.85,2,1,2018/2019,Marseille,Nimes
2019-04-12 19:45:00,Friday,19:45,4.14,1.85,3.78,2,1,2018/2019,Nantes,Lyon
2019-04-12 18:00:00,Friday,18:00,2.43,3.22,3.11,0,0,2018/2019,Dijon,Amiens
2019-04-09 18:00:00,Tuesday,18:00,2.73,2.66,3.30,3,1,2018/2019,Nimes,Rennes
2019-04-07 20:00:00,Sunday,20:00,1.25,11.05,6.51,2,2,2018/2019,Paris SG,Strasbourg
2019-04-07 16:00:00,Sunday,16:00,3.13,2.59,2.96,1,0,2018/2019,Nice,Montpellier
2019-04-07 14:00:00,Sunday,14:00,2.70,2.89,3.06,1,1,2018/2019,Reims,Lille
2019-04-07 14:00:00,Sunday,14:00,2.53,3.13,3.04,1,0,2018/2019,Toulouse,Nantes
2019-04-06 19:00:00,Saturday,19:00,3.45,2.29,3.15,2,2,2018/2019,Amiens,St Etienne
2019-04-06 19:00:00,Saturday,19:00,2.78,2.72,3.19,3,3,2018/2019,Angers,Rennes
2019-04-06 19:00:00,Saturday,19:00,3.80,2.10,3.27,1,1,2018/2019,Guingamp,Monaco
2019-04-06 19:00:00,Saturday,19:00,1.82,4.59,3.61,2,0,2018/2019,Nimes,Caen
2019-04-06 16:00:00,Saturday,16:00,1.20,14.37,7.30,1,3,2018/2019,Lyon,Dijon
2019-04-05 19:45:00,Friday,19:45,3.50,2.20,3.30,2,0,2018/2019,Bordeaux,Marseille
2019-04-03 18:00:00,Wednesday,18:00,1.87,4.80,3.31,2,0,2018/2019,Montpellier,Guingamp
2019-04-03 18:00:00,Wednesday,18:00,2.99,2.63,3.03,4,0,2018/2019,Strasbourg,Reims
2019-04-01 19:30:00,Monday,19:30,1.73,4.98,3.80,2,1,2018/2019,St Etienne,Nimes
2019-03-31 20:00:00,Sunday,20:00,7.32,1.41,4.98,0,1,2018/2019,Toulouse,Paris SG
2019-03-31 16:00:00,Sunday,16:00,2.72,2.84,3.09,2,3,2018/2019,Nantes,Lille
2019-03-31 14:00:00,Sunday,14:00,2.60,3.06,3.02,0,0,2018/2019,Amiens,Bordeaux
2019-03-31 14:00:00,Sunday,14:00,2.28,3.45,3.19,0,1,2018/2019,Dijon,Nice
2019-03-31 14:00:00,Sunday,14:00,1.41,8.61,4.61,0,1,2018/2019,Monaco,Caen
2019-03-30 16:00:00,Saturday,16:00,1.50,7.44,4.10,2,2,2018/2019,Marseille,Angers
